Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,72,101716,2912509670624,"[PSM] Loading libSceDipsw
"
PROCESS_OUTPUT,STREAM_STDIO,72,101716,2912523477655,"[PSM] Loading SystemService
"
PROCESS_OUTPUT,STREAM_STDIO,72,101716,2912523588338,"[PSM] Loading AudioOut
"
PROCESS_OUTPUT,STREAM_STDIO,72,101716,2912523638682,"[PSM] Loading Camera
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912523682948,"[PSM] ScePsmMonoSgenSetThreadType() thread_type = ::ORBIS
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912523821477,"[PSM] debugger off
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912523867463,"[PSM] AOT mode
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912523950795,"[PSM] AOT mode
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2912523995433,"Profiler enabled
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912524703076,"mount ---
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912525362328,"Failed to create filesystem from /app0/psm/Temp
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912525619599,"Failed to create filesystem from /app0/psm/Documents
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912525666331,"Failed to create filesystem from /app0/psm/System
"
PROCESS_OUTPUT,STREAM_STDIO,72,101716,2912534470736,"[PSM] Loading VideoCoreServerInterface
"
PROCESS_OUTPUT,STREAM_STDIO,49,100824,2912546358851,"[VCS]onNewClient() [APP->VCS] clientPid = 0x48, applicationId = 0x6000130b, sprxType = 0.
"
PROCESS_OUTPUT,STREAM_STDIO,72,101716,2912551781864,"[PSM] Loading Audiodec
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912603304723,"[PSM Mem] Allocated 12582912 bytes for Resource Heap
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912603818135,"Initializing PSM Graphics for PGraphics
"
PROCESS_OUTPUT,STREAM_STDIO,39,100135,2912608400807,"[mbus] onNewClient. clientNum 11 over 8
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912609074218,"[AudioOut] sceAudioOutOpen() with restricted flag:pid=0x48 ch=7
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912609880429,"[AudioOut] sceAudioOutOpen() with restricted flag:pid=0x48 ch=8
"
PROCESS_OUTPUT,STREAM_STDIO,72,101724,2912611785467,"ScePsP[TID:0x18d5c]: Open Pad [0x000000000007030d, 0, 0]: ret=0x03320600
"
PROCESS_OUTPUT,STREAM_STDIO,72,101724,2912612844851,"ScePsP[TID:0x18d5c]: Open Pad [0x000000000002030e, 16, 0]: ret=0x03330601
"
PROCESS_OUTPUT,STREAM_STDIO,72,101724,2912613126634,"ScePsP[TID:0x18d5c]: ConnectedDeviceStatus: count=2
"
PROCESS_OUTPUT,STREAM_STDIO,72,101724,2912613172064,"  [c][DeviceId          ][UserId    ][Model     ]
"
PROCESS_OUTPUT,STREAM_STDIO,72,101724,2912613431404,"  [o][0x000000000007030d][0x107182a4][DUALSHOCK4]
"
PROCESS_OUTPUT,STREAM_STDIO,72,101724,2912613480071,"  [ ][0xffffffffffffffff][0xffffffff][none      ]
"
PROCESS_OUTPUT,STREAM_STDIO,72,101724,2912614135015,"  [ ][0xffffffffffffffff][0xffffffff][none      ]
"
PROCESS_OUTPUT,STREAM_STDIO,72,101724,2912614220937,"  [ ][0xffffffffffffffff][0xffffffff][none      ]
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912631886368,"[ScePsmUtil] sceImeClientInitialize 
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912632157075,"[ScePsmUtil] sce::tts::InitializeCsharp() 
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912632459012,"[ScePsmUtil] sce::pss::orbis::video::InitializeCsharp() 
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912632682942,"[PSM] PsmFramework::Initailize() 121 msec. elapsed
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2912644546884,"Register libGlsSharedMediaNativaCall PInvokes
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2912770858804,"UnloadTime: 0.955107 ms
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2912795783216,"BoxColliders does not support negative scale or size.
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2912795887456,"The effective box size has been forced positive and is likely to give unexpected collision geometry.
"
PROCESS_OUTPUT,STREAM_STDIO,71,101619,2912795930845,"If you absolutely need to use negative scaling you can use the convex MeshCollider. Scene hierarchy path ""cube""
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2912804261495,"[SceShellUI] I/PSM.UI : OnFocusActiveSceneChanged [SplashScreen : SplashScreenScene] -> [AppScreen : ApplicationScreenScene]
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2912804368248,"[SceShellUI] I/PSM.UI :      Scene [AppScreen : ApplicationScreenScene] : Alive
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2912805017552,"SetDeviceIndexBehavior: mode=MergeAllConnectedDevice, param=null
"
PROCESS_OUTPUT,STREAM_STDIO,44,100491,2912805483034,"[Theme/I] : Apply [ANONYMOUS] : [Option:101000]: with not preloaded user
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913625887446,"[SceCdlgApp] I/PSM.UI : UISystem timer started!! 00:00:00.0000644
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913649772176,"[SceCdlgApp] I/PSM.UI : UI RenderingSettings Resolution: Pixels2K[1920,1080]
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913652052989,"[SceCdlgApp] I/PSM.UI : OnAccessibilitySettingsChanged
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913695326392,"[SceCdlgApp] I/PSM.UI : TimerLog: diff [39.19]msec / process time [1317]msec / GC[0] :  [UIInitialize] UISystem.InitializeTopMo"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913695445254,"st
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913827821368,"[VPA] PAllocatorInitialize system(addr=1309c00000, size=4194304) video=(addr=13bca00000, size=41943040)
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913828371844,"[PGraphics] Create PGraphicsDevice v[13bca00000 - 13bf200000] s[1309c00000 - 130a000000]
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913830492717,"[PGraphics] Allocated compositor index 0
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913830932105,"Initialized PGraphicsDevice 881207d20
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913866350487,"[SceCdlgApp] I/PSM.UI : TimerLog: diff [70.81]msec / process time [1426]msec / GC[0] : => [UIInitialize] UISystem.InitializeGra"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913866697356,"phics: 
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913963800480,"[SceCdlgApp] I/PSM.UI : Allocating Emojis at Initialize...
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913969163825,"[SceCdlgApp] I/PSM.UI : Allocating ShellUI Emojis...
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913971776100,"[SceCdlgApp] I/PSM.UI : Allocating Unicode Emojis from PNG...
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913980137470,"[SceCdlgApp] I/PSM.UI : Allocating Unicode Emojis from Atlas...
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913983894357,"[SceCdlgApp] I/PSM.UI : TimerLog: diff [57.88]msec / process time [1500]msec / GC[0] : => [UIInitialize] UISystem.PreloadSystem"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913983955139,"Texture
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913987896843,"[SceCdlgApp] I/PSM.UI : SystemSound::Initialize() 
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913994446363,"[SceCdlgApp] I/PSM.UI : VideoOutMode   : IsSystemDefault=True, IsVr=False
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913994718339,"[SceCdlgApp] I/PSM.UI : VideoOutStatus : [3840 2160] : freq 59.94
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913997297915,"[SceCdlgApp] I/PSM.UI : TimerLog: diff [175.05]msec / process time [1508]msec / GC[0] :  [UIInitialize] UISystem.InitializeBefo"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2913997494208,"reRendering
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914052114038,"[SceCdlgApp] W/PSM.UI : **** WARNING: Shown called without Alive status : TransitionScene
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914095094492,"[SceCdlgApp] I/PSM.UI : SoundScriptManager initialized 
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914264311922,"[SceCdlgApp] W/PSM.UI : ** NOTICE: LoadSync : BlankScene : Scene
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914270041028,"[SceCdlgApp] W/PSM.UI : ** NOTICE: LoadSync : TransitionScene : TransitionScene
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914377967487,"[SceCdlgApp] W/PSM.UI : Invalid widget type! _Count
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914389991227,"[SceCdlgApp] W/PSM.UI : ** NOTICE: LoadSync : Sce.Cdlg.Framework.Plugin : Plugin
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914390492239,"[SceCdlgApp] W/PSM.UI : !!!! WARNING !!!! /Application/resource/Sce.Cdlg.Framework.rco is loaded in main thread.
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914391192586,"GetLocaleElement() failed in SetLocale
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914392354500,"[SceCdlgApp] W/PSM.UI : cxml://CdlgFrameworkPlugin/tex_cdlg_bg is going to be loaded on main thread.
"
PROCESS_OUTPUT,STREAM_STDIO,72,101666,2914393478658,"[SceCdlgApp] W/PSM.UI : !!!! WARNING !!!! cxml://CdlgFrameworkPlugin/tex_cdlg_bg is loaded in main thread.
"
